yourls,Time (seconds)
shorten,1.070365667
shorten,0.3217539787
shorten,0.4326353073
shorten,0.345334053
shorten,0.3914635181
shorten,0.5594768524
shorten,0.7397072315
shorten,0.6955499649
shorten,0.316131115
shorten,0.04620265961
shorten,0.3242256641
shorten,0.02620196342
shorten,0.02312517166
shorten,0.04605984688
shorten,0.3344759941
shorten,0.06223797798
shorten,0.3611505032
shorten,0.341108799
shorten,0.3769989014
shorten,0.4063794613
shorten,0.3283262253
shorten,0.3453207016
shorten,0.0272154808
shorten,0.3158156872
shorten,0.3623878956
shorten,0.7529520988
shorten,0.3378791809
shorten,1.300323486
shorten,0.2906341553
shorten,0.4187586308
shorten,0.03443193436
shorten,0.0202023983
shorten,0.0212430954
shorten,0.3363785744
shorten,0.3788027763
shorten,0.02437734604
shorten,1.024022102
shorten,0.4770567417
shorten,0.02580022812
shorten,0.3714518547
shorten,0.3094835281
shorten,0.4780008793
shorten,0.3175625801
shorten,0.02241492271
shorten,0.3096802235
shorten,0.3880035877
shorten,0.2944028378
shorten,0.345230341
shorten,0.3397960663
shorten,0.4490308762
shorten,0.3832900524
shorten,0.02424907684
shorten,0.3006887436
shorten,0.02008032799
shorten,0.3459358215
shorten,0.0395989418
shorten,0.2993717194
shorten,0.3819642067
shorten,0.02574825287
shorten,0.02829051018
shorten,0.2887811661
shorten,0.2966125011
shorten,0.3217895031
shorten,0.2634692192
shorten,0.3362393379
shorten,0.02061271667
shorten,0.02915239334
shorten,0.03059840202
shorten,0.02073192596
shorten,0.3035833836
shorten,0.2972652912
shorten,0.02564835548
shorten,0.02437591553
shorten,0.3521707058
shorten,0.3645577431
shorten,0.303068161
shorten,0.2787439823
shorten,1.02920723
shorten,0.3225471973
shorten,0.2981426716
shorten,0.02821135521
shorten,0.2968831062
shorten,0.2645528316
shorten,0.02282309532
shorten,0.04528856277
shorten,0.03433632851
shorten,0.3907301426
shorten,0.3248052597
shorten,0.2828261852
shorten,0.2856266499
shorten,0.04647183418
shorten,0.3084433079
shorten,0.8620352745
shorten,0.3071255684
shorten,0.3080325127
shorten,0.3193283081
shorten,0.5757658482
shorten,0.4024944305
shorten,0.9710969925
redirect,0.04126119614
redirect,0.02191495895
redirect,0.02137112617
redirect,0.02166152
redirect,0.01869320869
redirect,0.02074480057
redirect,0.01935625076
redirect,0.02210617065
redirect,0.0227162838
redirect,0.8029255867
redirect,0.04645633698
redirect,0.02072167397
redirect,0.01982808113
redirect,0.02343773842
redirect,0.01931452751
redirect,0.0285756588
redirect,0.0191257
redirect,0.01737499237
redirect,0.02275037766
redirect,0.02211880684
redirect,0.7749083042
redirect,0.03253030777
redirect,0.03621125221
redirect,0.02404308319
redirect,0.02545571327
redirect,0.02279806137
redirect,0.03876447678
redirect,0.01630306244
redirect,0.01915812492
redirect,0.02127337456
redirect,0.02032971382
redirect,0.01838064194
redirect,0.01937198639
redirect,0.7129862309
redirect,0.01863527298
redirect,0.02225708961
redirect,0.02757382393
redirect,0.02741312981
redirect,0.01999378204
redirect,0.02043175697
redirect,0.01914811134
redirect,0.0186984539
redirect,0.0195081234
redirect,0.01858353615
redirect,0.02099013329
redirect,0.02095413208
redirect,0.01992797852
redirect,0.01928091049
redirect,0.01919460297
redirect,0.01920771599
redirect,0.6828455925
redirect,0.03688216209
redirect,0.0210340023
redirect,0.03291153908
redirect,0.03210067749
redirect,0.03047966957
redirect,0.02863073349
redirect,0.02902436256
redirect,0.02061009407
redirect,0.02716803551
redirect,0.02176046371
redirect,0.01676392555
redirect,0.04412698746
redirect,0.02470636368
redirect,0.03084802628
redirect,0.02772021294
redirect,0.03118610382
redirect,0.03008627892
redirect,0.03023076057
redirect,0.02247285843
redirect,0.02106618881
redirect,0.02358555794
redirect,0.02124285698
redirect,0.02770805359
redirect,0.01945090294
redirect,0.3669006824
redirect,0.02970290184
redirect,0.03363323212
redirect,0.02799057961
redirect,0.02207398415
redirect,0.02659296989
redirect,0.02877163887
redirect,0.02482509613
redirect,0.02893996239
redirect,0.02426552773
redirect,0.02015399933
redirect,0.0282433033
redirect,0.02561903
redirect,0.02762627602
redirect,0.02851319313
redirect,0.03097748756
redirect,0.01965308189
redirect,0.0297601223
redirect,0.04288029671
redirect,0.03302788734
redirect,0.02392482758
redirect,0.03023695946
redirect,0.01908040047
redirect,0.0175204277
SHORT_AVG,0.3084222531
REDIR_AVG,0.05766390781
cpu,36.4
memory,83.4
throughput,1.396820557
